group_key;type;slot_titles;slot_identities;role;undercover_identity;mission;bonus;outfit;tags;count;not_real_partners;requires_any_group_key;condition_note
fortune-teller-rival;single;;;The Fortune Teller's Rival;Competing mystic;Identify who is playing the Psychic, Spiritualist, or Astrologist at the party. Disagree with them and offer alternative predictions.;Act offended by their mystical methods.;Mystical aesthetic, dramatic scarf, strong opinions.;performance;24;;psychic|spiritualist|astrologist;Requires a fortune-teller style role: Psychic / Spiritualist / Astrologist
secret-billionaire;single;;;The Secret Billionaire;Incognito rich person;Drop hints that you are extremely wealthy but trying to stay humble.;Mention an imaginary asset casually.;Quiet luxury, clean minimal outfit, watch or fake-rich detail.;performance;25;;;
influencer;single;;;The Influencer;Influencer;Film fake content, ask people to be in your vlog, and mention brand deals that do not exist.;Ask people to redo normal moments for content.;Trendy outfit, sunglasses, phone always ready, main-character posture.;camera|performance;26;;;
therapist;single;;;The Therapist;Therapist;"Ask people ""and how did that make you feel?"" during normal conversations.";Offer a completely unnecessary breakthrough.;Calm neutral outfit, cardigan vibe, notebook, deeply concerned face.;performance;27;;;
birthday-party-inspector;single;;;The Birthday Party Inspector;Official birthday standards inspector;Inspect whether the party meets official birthday standards.;Issue a fake compliance rating.;Official-looking shirt, notebook, phone, or clipboard, inspector seriousness.;performance;28;;;
life-coach;single;;;The Life Coach;Unsolicited advisor;"Give people dramatic advice about their ""journey"" and ""potential.""";Tell someone they are entering a new chapter.;Clean motivational-speaker outfit, confident posture, optional headset vibe.;performance;29;;;
fortune-cookie;single;;;The Fortune Cookie;Fortune cookie teller;Give people tiny pieces of life advice written on paper.;Give two people fortunes that suspiciously connect to each other.;Pockets full of paper slips, warm mystical-but-cheap aesthetic.;performance;30;;;
preacher;single;;;The Preacher;Improvised preacher;Randomly recite possibly made up holy script verses.;Bless a normal party object, for example alcohol before serving;Formal-ish dark outfit, commanding posture, improvised holy book or notes.;performance;31;;;
talent-scout;single;;;The Talent Scout;Talent scout;Audition people for imaginary opportunities and take notes on their star potential.;Promise someone that your people will call their people.;Smart casual, sunglasses, notes app, industry-person energy.;performance;32;;;
politician;single;;;The Politician;Campaigning candidate;Shake hands, make promises, and ask people to vote for your fake platform.;Make an impossible campaign promise.;Button-up or blazer, campaign smile, handshake-ready hands.;performance;33;;;
florida-man;single;;;The Florida Man;Walking disaster, but always vibing;Spend the evening telling increasingly absurd adventure stories and insisting they genuinely happened to you.;Make your stories sound like newspaper headlines.;Loud casual outfit, sunglasses, chaotic vacation energy.;performance;34;;;
cult;pair;;;The Cult Recruiter;The Movement founder;Try to recruit people into a completely fake movement with their support.;Create a ritual or slogan.;Soft neutral colors, symbol or ribbon, calm unsettling enthusiasm.;performance;35;;;
wolf-of-wall-street;single;;;The Wolf of Wall Street;Annoying finance bro;Convince people to buy a pencil from you. Or make people try to sell a pencil to you in order to pass a test.;Make someone sign a napkin contract.;Shirt and tie or finance-bro vest, pen/pencil, aggressive confidence.;performance;36;;;
borat;single;;;The Borat;Social catastrophe;Pretend you come from a remote fictional country. Misunderstand social norms in increasingly absurd ways, and make out of pocket statements.;Keep your accent committed. Bonus points for iconic quotes.;"Borat outfit; commit to the bit. Bonus for the mankini";performance;37;;;
sommelier;single;;;The Sommelier;Wine/drink expert;Describe cheap drinks like they are luxury wines. Give absurdly serious reviews of cheap drinks.;Ask someone to identify tasting notes and solemnly agree with nonsense.;Smart black outfit, napkin over arm, imaginary wine expertise.;alcohol|performance;38;;;
conspiracy-theorist;single;;;The Conspiracy Theorist;Truth-seeker;Convince people that the birthday party is a cover-up for something bigger.;Connect unrelated objects into one theory.;Hoodie or overshirt, notes, red-string-board energy.;performance;39;;;
philosopher;single;;;The Philosopher;Deep thinker;Turn normal conversations into existential debates.;Refuse to answer a normal question until the group defines one word.;Black turtleneck or thoughtful layers, distant stare, optional notebook.;performance;40;;;
dj-critic;single;;;DJ Critic;Music reviewer;Identify who is playing The DJ at the party. Rate every song they put on and loudly suggest what should come next.;Give songs devastating reviews.;Pretentious reviewer outfit, crossed arms, music-snob face.;music|performance;41;;dj;Requires The DJ
health-safety-inspector;single;;;The Health and Safety Inspector;Official party safety inspector;Inspect people's drinks/snacks and give fake hygiene ratings.;Declare normal snacks controlled hazards.;High-vis detail or official-looking badge, notebook, concerned eyebrows.;performance|food;42;;;
historian;single;;;The Historian;Local history expert;Invent fake historical facts about the party guests.;Name a fake historical event after a guest;Old-school academic outfit, glasses, notebook, museum-guide seriousness.;performance;43;;;
motivational-speaker;single;;;The Motivational Speaker;Self-help guru;Give intense motivational speeches to people doing normal things. Turn every small thing into a fake LinkedIn lesson or TedTalk;Make someone repeat an absurd affirmation after you..;Business casual, energetic posture, keynote-speaker hand gestures.;performance;44;;;
flat-earther;single;;;The Flat Earther;Confidently wrong researcher;Try to prove the park is flat using fake experiments, sticks, cups, shadows, and scientific diagrams.;Recruit an assistant researcher.;Researcher casual, measuring props, notebook with fake diagrams.;performance;45;;;
medieval-plague-doctor;single;;;The Medieval Plague Doctor;Suspicious health professional;Diagnose people with fake obscure conditions based on their behavior. Recommend herbs or leeches.;Give conditions Latin-sounding names.;Dark layers, scarf or mask if comfortable, herb pouch.;performance;46;;;
divorced-couple;pair;;;Divorced Couple;Still bitter ex-spouse;Identify who {{partner}} is at the party. Convince people you and they used to be together. Casually bring up old grievances.;Reference one fictional shared asset you still want back.;Slightly too formal for a park, bitter reunion energy.;romance|performance;47;TRUE;;
divorced-couple;pair;;;Divorced Couple;Pretending-to-be-fine ex-spouse;Identify who {{partner}} is at the party. Convince people you and they used to be together and are totally fine now. Occasionally argue over imaginary property.;Compliment {{partner}} in a way that sounds like an insult.;Slightly too formal for a park, bitter reunion energy.;romance|performance;48;TRUE;;
cult;pair;;;First Follower of the Cult Leader;Devoted first follower;Identify who {{partner}} is at the party. Enthusiastically validate everything they say and translate their nonsense into doctrine.;Start applause for the movement.;Devoted follower energy.;performance;49;;;
